oli_seqid,cust_seqid,parent_cust_seqid,subid,odbid,order_seqid,oli_unit_monthly_net,oli_qty,order_bridge,focus_list,order_util,sku,sku_family,sku_arr,sku_base,sku_fee,sku_active,sku_subscription,sku_perpetual,sku_maint,sku_host,sku_ondemand,sku_onprem,sord,oli_start_dt,oli_end_dt,oli_mbg_dt,rep_supercede_dt,mbg_cancel_dt,non_renew_dt,oli_mct_dt,arr_odb,seats_odb,start_month,oli_start,end_month,ca_account_id,ca_account_name,end_user_ca_account_id,end_user_ca_account_name,geo,operating_area,sales_region,territory,account_segment,currency_code
30813,59858,59858,59858,59858,40246381,,150,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41984,42005,43100,,,,,,62622,150,42644,41974,43070,N097681,iRobot Corporation,,,NAmer,NA_NE,NA_NE,NA_NE_HQ,Commercial,USD
30814,61970,61970,61970,61970,40246382,,200,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41985,42005,43100,,,,,,58800,200,42644,41974,43070,N101368,Microstrategy Incorporated,,,NAmer,NA_SE,NA_SE,NA_SE_CAROLINAS,Commercial,USD
30815,61970,61970,61970,61970,40246382,,200,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41985,42005,43100,,,,,,58800,200,42644,41974,43070,N101368,Microstrategy Incorporated,,,NAmer,NA_SE,NA_SE,NA_SE_CAROLINAS,Commercial,USD
30816,61970,61970,61970,61970,40246382,,200,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41985,42005,43100,,,,,,58800,200,42644,41974,43070,N101368,Microstrategy Incorporated,,,NAmer,NA_SE,NA_SE,NA_SE_CAROLINAS,Commercial,USD
30817,61970,61970,61970,61970,40246382,,200,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41985,42005,43100,,,,,,58800,200,42644,41974,43070,N101368,Microstrategy Incorporated,,,NAmer,NA_SE,NA_SE,NA_SE_CAROLINAS,Commercial,USD
30818,-404,7000125,-404,7000125,40246383,,1,0,0,0,ACNUNL990,UE,1,0,0,1,0,1,1,0,0,1,41996,42005,43100,,,,,,0,0,42644,41974,42705,NR53091,Echostar Corporation,,,NAmer,NA_WEST,NA_WEST,NA_WEST_MOUNTAIN,Platinum,USD
30819,-404,7000125,-404,7000125,40246383,,149,0,0,0,ACNUNL990,UE,1,1,0,1,0,1,1,0,0,1,41996,42005,43100,,,,,,20730,149,42644,41974,42705,NR53091,Echostar Corporation,,,NAmer,NA_WEST,NA_WEST,NA_WEST_MOUNTAIN,Platinum,USD
30820,-404,7000125,-404,7000125,40246383,,1,0,0,0,ACNSVR990,UE,1,0,1,1,1,0,0,0,0,1,41996,42005,43100,,,,,,0,0,42644,41974,42705,NR53091,Echostar Corporation,,,NAmer,NA_WEST,NA_WEST,NA_WEST_MOUNTAIN,Platinum,USD
30821,59856,59856,59856,59856,40246384,,100,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42004,42005,43100,,,,,,46158,100,42644,41974,43070,N122658,"WELLTOK, INC.",,,NAmer,NA_WEST,NA_WEST,NA_WEST_MOUNTAIN,Commercial,USD
30822,59856,59856,59856,59856,40246384,,1,0,0,0,AGIGAS990,UE,0,0,0,1,1,0,0,0,1,0,42004,42005,43100,,,,,,0,0,42644,41974,43070,N122658,"WELLTOK, INC.",,,NAmer,NA_WEST,NA_WEST,NA_WEST_MOUNTAIN,Commercial,USD
30823,3034,3034,3034,3034,40246385,,110,0,0,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,42024,42036,43251,,,,,,48510,110,42644,42005,43221,N122897,Amcom,,,NAmer,NA_SE,NA_SE,NA_SE_CAROLINAS,Commercial,USD
30824,63571,7000067,63571,7000067,40246386,,190,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41950,42036,43131,,,,,,89376,190,42644,41944,43101,W097069,HP Enterprise Services (North America)- Renewals Only,,,NAmer,NA_HQ,NA_HQ,NA_HQ,Commercial,USD
30825,63571,7000067,63571,7000067,40246386,,80,0,1,0,AGCUNL990,UE,1,1,0,1,1,0,0,0,1,0,41950,42036,43131,,,,,,37632,80,42644,41944,43101,W097069,HP Enterprise Services (North America)- Renewals Only,,,NAmer,NA_HQ,NA_HQ,NA_HQ,Commercial,USD
