odbid,start_date,max_seats,max_arr
348,2005-09-01,30,21049.98
349,2005-09-01,5,3500
350,2005-09-01,9,6318
351,2005-09-01,575,136742.56
353,2005-09-01,5,3500
358,2005-10-01,5,3900
360,2005-09-01,25,17539.989999999998
363,2005-10-01,30,20266
364,2005-10-01,5,3500
365,2005-10-01,25,16170
366,2005-10-01,10,6999.99
367,2005-11-01,11,7710
368,2005-11-01,25,17499.98
371,2005-11-01,30,21000.02
372,2005-12-01,230,143715.02
374,2005-11-01,2,1560
375,2005-11-01,22,15399.98
376,2005-11-01,8,5604
377,2005-11-01,22,16000.04
378,2005-11-01,1,700
379,2005-11-01,19,10892.7
381,2005-12-01,75,43310.7
383,2005-12-01,25,17529.989999999998
385,2005-12-01,20,13999.99
386,2005-12-01,56,31695.3
391,2005-12-01,30,19422
392,2005-12-01,2,1400
393,2005-12-01,30,20999.98
394,2005-12-01,16,11199.99
395,2005-12-01,39,26657.989999999998
396,2005-12-01,1,420
398,2006-01-01,2,1560
405,2006-01-01,21,11340
406,2006-01-01,1,780
408,2006-01-01,5,3500
412,2006-02-01,5,1990
413,2006-02-01,5,1990
414,2006-02-01,10,6825
415,2006-02-01,25,17062.5
417,2006-02-01,13,9099.99
418,2006-02-01,15,10500
419,2006-02-01,20,13650.01
420,2006-03-01,17,11602.5
424,2006-03-01,14,9799.99
428,2006-03-01,5,3500
429,2006-03-01,12,8197.92
432,2006-03-01,10,5460
435,2006-03-01,19,11856
436,2006-03-01,9,6300
437,2006-03-01,12,8399.99
443,2006-04-01,30,20999.98
444,2006-04-01,5,1990
446,2006-05-01,0,0
448,2006-04-01,265,125549
450,2006-04-01,7,4900
453,2006-04-01,10,6999.99
454,2006-04-01,60,41999.96
455,2006-04-01,14,9799.99
456,2006-05-01,2,1400
458,2006-05-01,60,38609.84
460,2006-05-01,17,10499.99
462,2006-05-01,0,0
463,2006-05-01,10,7e3
465,2006-05-01,40,27219.97
466,2006-05-01,4,2960
467,2006-05-01,22,9009
468,2006-05-01,6,4280
469,2006-08-01,50,34824.98
471,2006-05-01,26,20440
472,2006-05-01,28,19600.08
473,2006-05-01,39,17596.8
474,2006-05-01,60,22050
475,2006-06-01,1,780
476,2006-06-01,12,8399.99
477,2006-06-01,2,1400
478,2006-06-01,14,5733
480,2006-06-01,1,780
481,2006-06-01,2,748.8
483,2006-06-01,20,8880
484,2006-06-01,30,20999.98
485,2006-06-01,5,2340
486,2006-06-01,20,14030
487,2006-06-01,30,15435.01
488,2006-06-01,62,43290
489,2006-06-01,50,34024.96
495,2006-08-01,30,20475
496,2006-09-01,110,62755.82
501,2006-07-01,20,8400
502,2006-07-01,25,10530
503,2006-07-01,2,1128
504,2006-07-01,4,1804.8
505,2006-07-01,10,6999.99
508,2006-08-01,7,2948.4
511,2006-08-01,32,19534.51
513,2006-08-01,15,10530
514,2006-08-01,2,648
516,2006-08-01,9,5940
518,2006-08-01,17,8716.2
519,2006-08-01,15,10499.99
521,2006-08-01,4,1296
522,2006-08-01,40,16672.5
523,2006-08-01,13,9126
526,2006-08-01,3,1068
527,2006-08-01,9,2187
531,2006-08-01,25,9652.5
534,2006-09-01,50,35216.4
536,2006-09-01,49,25270.5
537,2006-09-01,32,14695.2
538,2006-09-01,1,468
539,2006-09-01,10,4200
540,2006-09-01,1,468
542,2006-09-01,40,23940
543,2006-09-01,30,17439.989999999998
545,2006-09-01,1,324
547,2006-09-01,2,1188
549,2006-09-01,3,684
551,2006-09-01,10,4212
553,2006-09-01,1,324
554,2006-09-01,20,13999.99
556,2006-09-01,20,10152
